pga_g,pga_growth,p_wave_sec,depth_km,distance_km,stations,noise_level,warning
0.3954,0.1443,5.38,9.1,107.64,47,0.179,0
0.1123,0.3822,2.3,56.0,12.76,73,0.046,0
0.2757,0.5684,7.61,58.56,79.94,29,0.024,0
0.1817,0.1148,2.81,81.98,36.96,75,0.176,0
0.2336,0.0967,5.84,57.31,124.18,64,0.207,0
0.7068,0.4133,2.75,79.85,140.1,32,0.034,1
0.3673,0.4507,3.08,45.99,122.18,10,0.044,0
0.1909,0.4452,0.79,67.49,153.15,74,0.239,0
0.9838,0.3127,3.13,50.67,159.58,9,0.254,1
0.8003,0.064,5.76,65.42,198.63,58,0.093,0
0.4691,0.6051,0.67,47.25,34.44,15,0.153,0
0.8887,0.3641,7.38,50.66,34.11,52,0.169,1
1.0612,0.7392,6.98,29.29,83.64,46,0.208,1
0.1088,0.1447,5.44,3.18,166.39,24,0.086,0
0.0149,0.3829,3.27,57.5,190.67,66,0.286,0
0.5534,0.7852,7.64,68.7,112.3,51,0.126,1
0.1332,0.5745,0.97,8.6,42.54,21,0.042,0
0.6845,0.4876,7.62,62.15,14.99,27,0.188,1
0.1868,0.2345,3.11,37.69,25.45,63,0.298,0
0.1122,0.1009,3.07,27.95,165.94,21,0.16,0
0.2542,0.8573,3.21,69.63,182.92,68,0.096,0
1.0161,0.4714,7.31,36.86,45.34,70,0.236,1
0.4023,0.2085,6.59,98.52,170.67,31,0.247,0
0.626,0.3265,0.72,4.74,56.6,34,0.066,0
0.7301,0.3164,6.56,72.87,70.55,47,0.033,1
0.4119,0.4396,7.89,61.81,1.38,45,0.242,1
0.1109,0.5979,7.32,78.67,150.28,62,0.268,0
0.1132,0.8521,5.91,47.39,148.93,11,0.22,0
0.2123,0.1231,1.63,90.68,161.49,19,0.187,0
1.1256,0.1488,4.61,4.1,160.07,14,0.163,1
1.121,0.3961,7.04,82.96,43.0,33,0.072,1
0.3979,0.4945,6.76,7.97,148.24,59,0.202,1
0.9799,0.4699,6.7,88.06,27.02,20,0.162,1
0.2279,0.0135,6.49,18.89,95.23,16,0.171,0
0.3979,0.4713,4.67,78.86,22.12,72,0.026,1
0.1263,0.4124,0.71,89.61,13.61,42,0.188,0
0.6116,0.4658,5.7,46.33,107.12,62,0.157,1
1.0524,0.8358,7.42,89.49,41.32,58,0.05,1
0.1547,0.4035,1.04,25.58,15.55,39,0.237,0
0.8622,0.5976,1.57,88.52,193.54,29,0.227,1
0.122,0.7976,1.72,67.45,45.52,56,0.298,0
0.4344,0.0921,3.24,35.12,92.28,3,0.121,0
0.6257,0.273,7.71,13.06,183.79,30,0.292,1
0.0571,0.7033,2.53,14.7,85.03,34,0.128,0
0.6486,0.4682,4.21,34.05,56.53,24,0.133,1
0.765,0.7234,1.13,85.91,14.26,16,0.142,1
0.4136,0.5022,7.45,28.25,26.72,68,0.216,1
0.3217,0.1712,7.49,63.61,106.69,27,0.094,0
0.6051,0.1683,3.1,3.78,50.84,2,0.015,0
0.6219,0.2287,3.85,66.52,130.37,64,0.168,0
1.0676,0.8736,2.81,23.09,46.68,26,0.251,1
0.4916,0.3193,0.91,14.72,15.07,33,0.135,0
0.0759,0.6021,3.36,51.58,194.22,77,0.08,0
